Unnamed: 0,name,description,reviews,rating,website,featured_image,ranking,address,latitude,longitude,reviews_per_rating,review_keywords,price_range,city,destinationType,TAG,country,Topic
2,Pointbar,"In a quiet street of Gueliz is the Pointbar, an establishment that will not leave you indifferent! With its large interior spaces with refined and contemporary decoration, you will quickly feel at ease to enjoy a few tapas over a drink or enjoy delicious international cuisine during a meal with friends. You can also enjoy a huge tree-lined terrace to lounge on one of the sofas to the rhythm of the music played each evening by the resident DJ. We inform our dear customers that the restaurant is smoking.",1818,5.0,http://www.pointbar-restaurant.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/d1/9b/3a/terrasse-pointbar-marrakech.jpg,"{""current_rank"": 3, ""total"": 1580}","3 bis rue Abou Hayane, Marrakech 40000 Morocco",31.639067,-8.014753,"{""1"": 22, ""2"": 10, ""3"": 20, ""4"": 111, ""5"": 1655}","[""mussels"", ""gyoza"", ""tapas"", ""steak"", ""our waiter"", ""great atmosphere"", ""food was amazing"", ""saturday night"", ""beautiful decor"", ""visiting marrakech"", ""lovely evening"", ""anwar"", ""dj"", ""waiters"", ""taxi"", ""morocco"", ""entertainment"", ""medina""]",mid-range,Marrakech,Restaurant,"['Cultural', 'buffet', 'Hospitality']",Morocco,General Experience
3,La Terrasse De La Brillante - Rooftop,"The restaurant is located on the rooftop of the new luxury boutique hotel La Brillante, in the heart of the Medina of Marrakech, with a wonderful view on the Atlas and the Koutoubia. During the cold season, depending of the weather, we serve our customers at our Laila restaurant. Lightness, modernity and passion are the key words of a cuisine that wishes to play with classic culinary codes while preserving the essential taste. You will enjoy a lunch, a dinner preceded by a cocktail in the lounge area or a private special event for you and your guests. Take advantage of the breathtaking view during the day, at the sunset or at night.",642,5.0,http://www.laterrassedelabrillante.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/83/47/cf/wonderful-evening-on.jpg,"{""current_rank"": 9, ""total"": 1580}","Rue Bahia 6, Marrakech 40000 Morocco",31.62239,-7.98403,"{""1"": 3, ""2"": 1, ""3"": 12, ""4"": 27, ""5"": 599}","[""tuna"", ""bahia palace"", ""modern setting"", ""great food"", ""romantic dinner"", ""wonderful evening"", ""beautiful place"", ""nice view"", ""mohammad"", ""rooftop"", ""ambience"", ""medina"", ""oasis"", ""appetizers"", ""sunset"", ""morocco""]",luxury,Marrakech,Restaurant,"['Cuisine', 'Mindful']",Morocco,General Experience
4,Palais Dar Soukkar,"Palais Dar Soukkar offers to its guests the possibility to taste international, moroccan and asian cuisine , in an enchanting indoor ""Arabian nights"" atmosphere , or outside under the stars of Marrakesh. Located minutes from the city center, it also has a lounge if you want to enjoy a drink in a relaxing and chic spirit.",2585,4.5,http://www.darsoukkar.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/7b/8b/8f/outdoor-live-show-terrace.jpg,"{""current_rank"": 80, ""total"": 1580}","Km 3,5 Route de l'Ourika, Marrakech 40000 Morocco",31.574932,-7.978856,"{""1"": 152, ""2"": 65, ""3"": 60, ""4"": 200, ""5"": 2108}","[""cake"", ""amazing entertainment"", ""amazing night"", ""our waiter"", ""nice dinner"", ""visiting marrakech"", ""amazing restaurant"", ""walid"", ""marais"", ""entertainers"", ""dj"", ""palace"", ""waiters"", ""dancing"", ""marakesh"", ""morocco"", ""taxi"", ""candles""]",mid-range,Marrakech,Restaurant,"['Arabic', 'Local Flavors', 'Easy Access', 'Ocean Bites', 'Vibrant Pub Vibes']",Morocco,Bars & Lounges
9,NOMAD,"In 2014, Kamal Laftimi and Sebastian de Gzell took over an old carpet store off the famed Rahba Lakdima spice square (places des epices) and, alongside interior designer Romain Meniere, transformed it into ""Nomad"". With a strong emphasis on fresh local produce and ample variety for vegetarians, pescetarians, and carnivores alike, the lively restaurant serves simple ""Modern Moroccan"" cuisine: revisions of traditional local cuisine and international dishes with a Moroccan twist. Spread over 4 floors, with intimate dining rooms and two levels of terraces that offer fantastic views of the surrounding Medina and Atlas mountain range (when visible between November and May), Nomad is perfect for both lunch and dinner, or to simply repose from the hustle and bustle of the souks with a much-needed drink.",6724,4.0,http://nomadmarrakech.com,https://media-cdn.tripadvisor.com/media/photo-o/12/1a/06/d9/nomad-rooftop.jpg,"{""current_rank"": 264, ""total"": 1580}","1, Derb Aajrane, Marrakech 40000 Morocco",31.628593,-7.987534,"{""1"": 251, ""2"": 444, ""3"": 988, ""4"": 2094, ""5"": 2947}","[""lamb burger"", ""courgette fritters"", ""cake"", ""tagine"", ""ice cream"", ""salad"", ""juice"", ""spice market"", ""no alcohol"", ""roof terrace"", ""moroccan food"", ""le jardin"", ""nice view"", ""atlas mountains"", ""nice restaurant"", ""mint tea"", ""medina"", ""sunset"", ""vegetarian"", ""blankets"", ""morocco"", ""roofs"", ""twist"", ""tourists"", ""stylish"", ""square"", ""break""]",mid-range,Marrakech,Restaurant,"['parking', 'Dining', 'Late Night Experience', 'Peace & Quiet', 'Skyline Views']",Morocco,Bars & Lounges
11,Azar,"Lebanese and moroccan restaurant located in Gueliz. Live music, belly dancers show, terrace, lounge and shisha bar. The perfect place to discover the oriental way in Marrakesh.",3625,4.5,https://www.facebook.com/AzarMarrakech/,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/3d/0e/a5/azar.jpg,"{""current_rank"": 79, ""total"": 1580}","Rue de Yougoslavie, Marrakech Morocco",31.631748,-8.012902,"{""1"": 68, ""2"": 48, ""3"": 189, ""4"": 715, ""5"": 2605}","[""lamb shawarma"", ""mixed grill"", ""tasting menu"", ""bread"", ""belly dancing"", ""lebanese food"", ""great atmosphere"", ""live band"", ""amazing food"", ""visiting marrakech"", ""set menu"", ""recommend this restaurant"", ""nice restaurant"", ""mezze"", ""shisha"", ""entertainment"", ""naima"", ""morocco"", ""candles"", ""mojito"", ""taxi"", ""tagines"", ""medina"", ""alcohol""]",luxury,Marrakech,Restaurant,"['shuttle', 'buffet', 'Exclusive Club']",Morocco,Bars & Lounges
13,Terrasse des Epices,"La Terrasse des epices, an open-air rooftop restaurant, offers a peaceful and relaxing moment. During the day, enjoy in our authentic setting and appreciate the panoramic view of the Atlas Mountains and the nearby minaret of the Koutoubia. At nightfall, experience a timeless dinner under the stars of Marrakech. La Terrasse des epices gathers Morocco's best qualities together, an outstanding and warm welcome, a Moroccan and Mediterranean fusion cuisine including the most famous specialties of Marrakesh.",5583,4.0,http://www.terrassedesepices.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/25/7a/a1/b0/enjoy-a-marrakchi-sunset.jpg,"{""current_rank"": 199, ""total"": 1580}","15 Souk Charifia Sidi Abdellaziz, Marrakech 40000 Morocco",31.631216,-7.988827,"{""1"": 152, ""2"": 273, ""3"": 597, ""4"": 1862, ""5"": 2699}","[""tagine"", ""sardines"", ""chicken"", ""burger"", ""salad"", ""rooftop restaurant"", ""nice food"", ""mint tea"", ""moroccan food"", ""souks"", ""alcohol"", ""blankets"", ""sunset"", ""oasis"", ""tourists"", ""morocco"", ""market"", ""french"", ""guide"", ""riad"", ""nomad"", ""olives""]",mid-range,Marrakech,Restaurant,"['Oreintal', 'Prime Location', 'Luxury Lounge']",Morocco,Bars & Lounges
14,Les Jardins De La Medina - Restaurant,"Nestled in the heart of the Marrakech medina, Les Jardins de la Medina is a peaceful haven where Moroccan culinary art flourishes. On our terrace, surrounded by a 3,000 m2 garden, or under the cedar wood ceilings, discover dishes prepared with passion.

At lunchtime, enjoy light Mediterranean cuisine with options such as: Crispy tempura prawns, Charred avocado and Oualidia crab meat, Beef tartare, bistro-style...

In the evening, be tempted by Moroccan dishes like: Chicken and almond pastilla, Seafood couscous, Lamb shank tangia...

Don't miss our international dishes, including: Slow-cooked lamb with sweet potato puree, Herb-crusted sea bream, pea risotto....

We also offer a special vegetarian menu.

Pair your meals with our selection of French and Moroccan wines.",1290,4.5,http://www.lesjardinsdelamedina.com/gastronomie.php#restaurant,https://media-cdn.tripadvisor.com/media/photo-o/12/67/4d/00/restaurant-les-jardins.jpg,"{""current_rank"": 113, ""total"": 1580}","21 Derb Chtouka, quartier Kasbah Marrakech, Marrakech 40000 Morocco",31.61195,-7.987425,"{""1"": 16, ""2"": 28, ""3"": 99, ""4"": 349, ""5"": 798}","[""prawns"", ""couscous"", ""beautiful hotel"", ""pool"", ""massage"", ""oasis"", ""tranquility""]",luxury,Marrakech,Restaurant,['parking'],Morocco,Bars & Lounges
16,Le Zar Restaurant & Bar A Tapas,"Join us at Le Zar Restaurant Pub for the ultimate experience! Enjoy tasty tapas, refreshing drinks, live football, and live band music, all in a cozy English pub setting. Great food, exciting matches, and vibrant tunes - the perfect place to relax, socialize, and have fun!",29,5.0,https://lezarrestaurant.com/,https://media-cdn.tripadvisor.com/media/photo-o/2e/a3/c9/a1/join-us-at-le-zar-restaurant.jpg,"{""current_rank"": 2, ""total"": 21}","57 Av. Hassan Ii, Marrakech, Marrakech 40000 Morocco",31.631336,-8.010958,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 29}",[],low,Marrakech,Restaurant,"['shuttle', 'Accommodation', 'Nightlife', 'Lounge & Leisure']",Morocco,Bars & Lounges
19,Medina Burger,"When western tradition meets Moroccan innovation. Medina Burger offers a variety of american smash burgers for the everyday burger lovers but also introduces signature burgers that are 100% new and innovative for the real thrill-seekers! With a cooperative collaboration between two chefs from across the seas, one with traditional moroccan cuisine and the other, a sauce&burger expert, they were able to create a trendsetting revolutionary Moroccan-American burger fusion, never seen before ! Come prepared for our signatures or you'll settle for tradition.",2106,5.0,https://medinamall.ma/decouvrez-les-meilleurs-restaurants-de-la-medina-de-marrakech/#medina-burger,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/ed/5e/76/caption.jpg,"{""current_rank"": 7, ""total"": 1580}","91 Avenue Homman Fetouaki Located In Medina Mall Marrakech Shopping Center Artisanal, Marrakech 40000 Morocco",31.620466,-7.986482,"{""1"": 10, ""2"": 11, ""3"": 16, ""4"": 88, ""5"": 1981}","[""burger"", ""fries"", ""truffle butter"", ""burguer"", ""chicken tenders"", ""beef"", ""tagine"", ""pasta"", ""quick bite"", ""fast food"", ""nice service"", ""great place to eat"", ""amazing food"", ""simo"", ""bun"", ""xxl"", ""homemade"", ""break"", ""morocco""]",low,Marrakech,Restaurant,"['restaurant', 'Hospitality']",Morocco,General Experience
21,Pensee - Cafe & Restaurant,"Bienvenue chez Pensee - Cafe & Restaurant, votre destination culinaire au coeur de Marrakech, situe a Gueliz! Nous vous proposons une experience gastronomique unique avec un menu varie comprenant des cuisines marocaine, internationale et asiatique. Ce que nos clients adorent : Atmosphere incroyable : Ambiance chaleureuse et accueillante, confortables canapes, bonne musique et television. Service exceptionnel : Personnel attentionne et charmant, veillant a ce que chaque visite soit speciale. Nourriture delicieuse : Plats savoureux et magnifiquement presentes, du couscous au the a la menthe, une impression durable. Variete du buffet : Large choix pour tous les gouts. Petit-dejeuner, dejeuner ou diner, buffet divin et copieux. Rapport qualite-prix : Selection diversifiee et de haute qualite pour toutes les preferences. Attention personnalisee : Equipe prete a repondre a vos besoins. Faites-nous part de vos demandes speciales. Venez decouvrir la magie de Pensee - Cafe & Restaurant.",132,4.5,http://www.penseemarrakech.com,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/a9/02/d3/pensee-cafe-restaurant.jpg,"{""current_rank"": 222, ""total"": 1580}","Stars Hotel, Angle Rue Sebou Et Rue Ouadi Naffis, Marrakech 40000 Morocco",31.631525,-8.005367,"{""1"": 12, ""2"": 0, ""3"": 3, ""4"": 13, ""5"": 104}","[""nice food""]",mid-range,Marrakech,Restaurant,"['Arabic', 'Hotel Staff']",Morocco,General Experience
22,M Rooftop By Medina Heritage,Le M Rooftop Medina Heritage est un nouveau restaurant avec une vue magnifique sur la medina de Marrakech. Il est situe a 5 min de la Grande Place. Nous avons selectionne pour vous ce que le Maroc a de mieux a offrir en matiere de tajines avec une belle inspiration de la cuisine italienne et francaise. Le restaurant Medina Heritage est aussi un Concept store de produits d'art et d'artisanat. Venez profiter de la vue panoramique et vivre une experience culinaire inoubliable.,536,4.5,https://www.medinaheritage.ma/restaurant/,https://media-cdn.tripadvisor.com/media/photo-s/2e/84/9f/b6/the-view-over-the-old.jpg,"{""current_rank"": 48, ""total"": 1580}","58 Angle Rue El Ksour Et, Marrakech 40030 Morocco",31.627579,-7.991863,"{""1"": 13, ""2"": 5, ""3"": 7, ""4"": 54, ""5"": 457}","[""patatas bravas"", ""crepes"", ""pastilla"", ""juice"", ""international food"", ""great food"", ""watch the sunset"", ""no alcohol"", ""great dinner"", ""lovely evening"", ""nice restaurant"", ""ate here"", ""last night"", ""mint tea"", ""our waiter"", ""rooftop"", ""mocktails"", ""koutoubia"", ""rabia"", ""servers"", ""morocco""]",mid-range,Marrakech,Restaurant,"['Easy Access', 'sunbeds']",Morocco,General Experience
23,Mandala Society Marrakech,"A cozy specialty coffee shop and restaurant in the heart of Marrakech Medina. Serving breakfast, brunch, quesadillas, healthy salads, juices, homemade sourdough bread, cakes, hand-blended teas, hot chocolates, chai lattes, and delicious iced coffees. Vegan, keto, and vegetarian options are available. Come join us for a cozy break from the hustle and bustle of the city.",571,5.0,http://www.mandalasociety.co/marrakech,https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/9d/e0/35/mandala-society-sweet.jpg,"{""current_rank"": 24, ""total"": 1580}","159, Rue Riad Zaytun Jdid, Marrakech 40000 Morocco",31.623981,-7.985128,"{""1"": 7, ""2"": 12, ""3"": 11, ""4"": 29, ""5"": 512}","[""brunch"", ""salmon burger"", ""avocado toast"", ""carrot cake"", ""mash potatoes"", ""juice"", ""amazing coffee"", ""coffee lovers"", ""eat healthy"", ""best coffee in town"", ""healthy food"", ""vegan options"", ""moroccan fusion"", ""cozy atmosphere"", ""a late lunch"", ""busy medina"", ""lovely rooftop terrace"", ""visited twice"", ""great restaurant"", ""amazing food"", ""no alcohol"", ""the hustle and bustle"", ""beautiful place"", ""barista"", ""cortado"", ""texture"", ""homemade"", ""ramadan"", ""establishment"", ""ingredients""]",mid-range,Marrakech,Restaurant,"['Arabic', 'Accommodation', 'sunbeds']",Morocco,General Experience
24,Gucciano Lab,"GUCCIANO LAB - Pizza Artistry in Marrakech Awarded the Best Pizza in Marrakech Indulge in an authentic Neapolitan pizza experience at GUCCIANO LAB, where our passion for pizza shines through in every detail. We use the freshest seasonal ingredients, crafting our dough with filtered water and baking it to perfection in our traditional, hand-crafted Italian wood-fired oven. Our menu features both classic and unique creations, like the 7 cheese pizza, the special pepperoni, and the delectable schiacciata with fire-roasted vegetables. Enjoy our warm and inviting atmosphere, with friendly service and attention to detail. Relax and savor the flavors of Italy in the heart of Marrakech! We're family-friendly, with options for everyone to enjoy.",258,5.0,http://guccianolab.ma,https://media-cdn.tripadvisor.com/media/photo-o/2d/cf/d5/9b/pizza-gucciano-lab.jpg,"{""current_rank"": 1, ""total"": 1580}","30 Bd Moulay Rachid, GUELIZ Marrakech, Marrakech 40000 Morocco",31.632584,-8.014111,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 9, ""5"": 248}",[],mid-range,Marrakech,Restaurant,"['Guest Experience', 'Peace & Quiet', 'Positive Vibes']",Morocco,General Experience
25,Sabai Thai,"Sabai Thai is an award-winning Thai restaurant that takes its guests on an ultimate culinary journey of Thailand's cuisine and culture. Located at The Westin Doha Hotel & Spa, the rich culinary adventure commences with the aromas of the open kitchen along with the array of authentic Thai dishes and drinks. Every dish is prepared with meticulous attention to detail and authenticity while showcasing the culinary skills and passion of a country famous for its cuisine.",1460,5.0,http://www.sabaithaidoha.com,https://media-cdn.tripadvisor.com/media/photo-o/0b/c3/ea/90/sabai-thai-doha-exterior.jpg,"{""current_rank"": 15, ""total"": 1658}","Salwa Road, Fereej Bin Mahmoud, Zone 23 At The Westin Doha Hotel & Spa, Doha 39474 Qatar",25.276937,51.512703,"{""1"": 7, ""2"": 4, ""3"": 31, ""4"": 122, ""5"": 1296}","[""brunch"", ""thai food"", ""pomelo salad"", ""mango sticky rice"", ""beef"", ""cake"", ""westin hotel"", ""business lunch"", ""excellent service"", ""birthday celebration"", ""special thanks"", ""food was great"", ""thank you so much"", ""nice ambience"", ""dining experience"", ""special mention"", ""taking care"", ""amazing experience"", ""mart"", ""rose"", ""kate"", ""leny"", ""raj"", ""team"", ""hostess"", ""qatar"", ""friday"", ""cheers"", ""guys"", ""hospitality""]",mid-range,Doha,Restaurant,"['Cuisine', 'Spiritual']",Qatar,General Experience
